% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_grid_parallel_vary_flowrate_discharge.mph
% Version,COMSOL 6.0.0.405
% Date,"Mar 1 2023, 09:07"
% Table,Accumulated Probe Table 2 - 
% discharge_hrs (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T","massflowrate (kg/s), mass_flowrate",Global Variable Probe 1
20,5,0,2173,2672.9999999999677,2672.8085025118253,2172.999999999966,2672.999999999962,2173.0000000000014,2673,2672.999978906084,2672.9999998533253,2672.9999999963843,3.116666666666635,380233.33333334024
20,5,36,2173,2672.9999947973743,2670.38481242366,2172.999999999966,2672.9999976012123,2173.0000000000014,2672.9999994537743,2672.9598354993454,2672.9992086942525,2672.999963646995,3.1166666697625436,380233.33329566
20,5,72,2173,2672.999951539131,2668.152614334674,2172.999999999966,2672.999970123114,2173.0000000000014,2672.9999832523704,2672.842306096019,2672.99557617273,2672.999831863262,3.1166667672649524,380233.33287032193
20,5,108,2173,2672.9998748725866,2665.959296394357,2172.999999999966,2672.999916756404,2173.0000000000014,2672.9999469487702,2672.683299816689,2672.989887613452,2672.999646122845,3.11666696834592,380233.3297945246
20,5,144,2173,2672.9997662679493,2663.7900848220347,2172.999999999966,2672.9998364575554,2173.0000000000014,2672.999887905034,2672.4884591792816,2672.9823376618206,2672.9994194085675,3.116667266526695,380233.32127176935
20,5,180,2173,2672.9996264772867,2661.638577319799,2172.999999999966,2672.999728028246,2173.0000000000014,2672.9998038528274,2672.2617920879375,2672.9725131571354,2672.999151422583,3.11666769968672,380233.3101983612
20,5,216,2173,2672.9994508231725,2659.5051585422034,2172.999999999966,2672.99958610867,2173.0000000000014,2672.999688247719,2672.0016278935077,2672.9596468286554,2672.9988348192305,3.1166683571642904,380233.30249671434
20,5,252,2173,2672.999237130542,2657.3883400708614,2172.999999999966,2672.9994082627272,2173.0000000000014,2672.999538170226,2671.711406837923,2672.9431318364577,2672.9984666091927,3.1166692673523064,380233.2994105604
20,5,288,2173,2672.998983400682,2655.2875309023266,2172.999999999966,2672.9991925002814,2173.0000000000014,2672.999351698087,2671.3955901390414,2672.922520251056,2672.9980447249923,3.1166704202225977,380233.29825458565
20,5,324,2173,2672.9986881506943,2653.202087444726,2172.999999999966,2672.998937125271,2173.0000000000014,2672.999127100191,2671.0588483629554,2672.8975265890604,2672.9975690443584,3.116671810698725,380233.29709295696
20,5,360,2173,2672.998351256681,2651.131563431612,2172.999999999966,2672.9986448410955,2173.0000000000014,2672.9988673484345,2670.705240334421,2672.867915903949,2672.997035684439,3.116673684077927,380233.32811182615
20,5,396,2173,2672.9979638673904,2649.0775741561915,2172.999999999966,2672.9983080782818,2173.0000000000014,2672.99856815888,2670.338201792824,2672.8331068294287,2672.9964333364132,3.1166756601774233,380233.34167107573
20,5,432,2173,2672.9975190496702,2647.03996991932,2172.999999999966,2672.997918897253,2173.0000000000014,2672.99822193891,2669.9610935068954,2672.793231552401,2672.9957666444648,3.116677709900069,380233.3284468445
20,5,468,2173,2672.9970191321822,2645.016718014463,2172.999999999966,2672.9974746237494,2173.0000000000014,2672.9978216178442,2669.5762874063985,2672.7490201600026,2672.995055572966,3.1166801276359983,380233.3189774393
20,5,504,2173,2672.996473132599,2643.0063290379544,2172.999999999966,2672.9969786152114,2173.0000000000014,2672.9973650676616,2669.1843606180514,2672.701179852285,2672.994310015624,3.116683044996926,380233.32770089793
20,5,540,2173,2672.995891938604,2641.0082139444703,2172.999999999966,2672.996438483419,2173.0000000000014,2672.9968566768875,2668.7849935417653,2672.6501379388546,2672.993529241266,3.1166863224173516,380233.3409274118
20,5,576,2173,2672.995284700988,2639.0214940994724,2172.999999999966,2672.995863275295,2173.0000000000014,2672.9963055886324,2668.3781655164034,2672.596144449675,2672.9927166428224,3.116689793841199,380233.3453510978
20,5,612,2173,2672.9946539357793,2637.0458427892854,2172.999999999966,2672.995259403631,2173.0000000000014,2672.995721710757,2667.964196334768,2672.53926570708,2672.9918709993563,3.116693409179881,380233.34239568235
20,5,648,2173,2672.99399466261,2635.082140790521,2172.999999999966,2672.9946280580166,2173.0000000000014,2672.995111232844,2667.5433244564515,2672.479382790261,2672.9909825325735,3.1166971767765235,380233.3377858936
20,5,684,2173,2672.993300756698,2633.130867418676,2172.999999999966,2672.9939665895317,2173.0000000000014,2672.9944742792695,2667.1157995180765,2672.4163951780124,2672.9900508502815,3.1167011085116356,380233.3330655742
20,5,720,2173,2672.992568773877,2631.191705791187,2172.999999999966,2672.9932711424417,2173.0000000000014,2672.993806673715,2666.6819097090934,2672.3502939664204,2672.9890834662697,3.11670523782017,380233.32913759316
20,5,756,2173,2672.9917969407807,2629.264714295907,2172.999999999966,2672.992538275071,2173.0000000000014,2672.9931034748784,2666.2417679261216,2672.281072991614,2672.988079885442,3.1167096127787226,380233.3281092835
20,5,792,2173,2672.990985993448,2627.349823450549,2172.999999999966,2672.991766574424,2173.0000000000014,2672.992361517268,2665.795460448395,2672.208779145206,2672.9870394010395,3.116714255374129,380233.33025546646
20,5,828,2173,2672.9901400304598,2625.446060223012,2172.999999999966,2672.990957485194,2173.0000000000014,2672.991580327299,2665.3432692088863,2672.13353042055,2672.985968566655,3.1167191509010976,380233.3334216917
20,5,864,2173,2672.989262731112,2623.5528647537144,2172.999999999966,2672.990113764515,2173.0000000000014,2672.9907619201035,2664.8854150441734,2672.055361425883,2672.9848674246823,3.116724271330599,380233.335720678
20,5,900,2173,2672.988355178358,2621.670539439316,2172.999999999966,2672.989237766284,2173.0000000000014,2672.9899094311804,2664.4218840331196,2671.974225246065,2672.9837304038715,3.116729591620814,380233.3364815958
20,5,936,2173,2672.9874181147984,2619.7989421254847,2172.999999999966,2672.9883312858606,2173.0000000000014,2672.989025464096,2663.952708920991,2671.89013143791,2672.982560494293,3.116735096224926,380233.3357874797
20,5,972,2173,2672.9864517353676,2617.937688718026,2172.999999999966,2672.987395189699,2173.0000000000014,2672.9881115452163,2663.478052471183,2671.80309216566,2672.981361414882,3.1167407831537557,380233.3345561987
20,5,1008,2173,2672.98545410297,2616.087129245864,2172.999999999966,2672.98642884972,2173.0000000000014,2672.9871681399354,2662.997987326613,2671.7130345987184,2672.980129010546,3.1167466559902572,380233.3335785365
20,5,1044,2173,2672.9844236819044,2614.2474698946216,2172.999999999966,2672.985431142535,2173.0000000000014,2672.986194593173,2662.512549792238,2671.619936026047,2672.978863847589,3.1167527178788528,380233.3327396594
20,5,1080,2173,2672.983361070656,2612.4181510175476,2172.999999999966,2672.984401575537,2173.0000000000014,2672.9851896723517,2662.0218992448845,2671.5238510193326,2672.977571793363,3.1167589773082964,380233.3321375481
20,5,1116,2173,2672.9822666320492,2610.5989994504534,2172.999999999966,2672.9833399709023,2173.0000000000014,2672.9841525135375,2661.5261756517075,2671.4247688894575,2672.976250913633,3.1167654445184323,380233.33236410806
20,5,1152,2173,2672.9811404446696,2608.7902544782432,2172.999999999966,2672.982246467278,2173.0000000000014,2672.983082967774,2661.0254082356696,2671.3226472078054,2672.974898293512,3.116772118946962,380233.3332371576
20,5,1188,2173,2672.979984385406,2606.9915276243896,2172.999999999966,2672.9811221106943,2173.0000000000014,2672.981981493112,2660.5196698197733,2671.2175270237653,2672.973518706501,3.1167789912630313,380233.33396639954
20,5,1224,2173,2672.978800252593,2605.202393761777,2172.999999999966,2672.9799681688664,2173.0000000000014,2672.9808492133516,2660.009079052814,2671.1094390961734,2672.9721128713086,3.1167860534783927,380233.3344316209
20,5,1260,2173,2672.977587752572,2603.4231590537092,2172.999999999966,2672.9787852015174,2173.0000000000014,2672.9796875544416,2659.493676217713,2670.998335376075,2672.9706761657303,3.116793297073604,380233.3346776182
20,5,1296,2173,2672.976346642456,2601.6539023081277,2172.999999999966,2672.9775735243115,2173.0000000000014,2672.978497421716,2658.973499615335,2670.884216412737,2672.9692113217898,3.116800713060073,380233.33429601963
20,5,1332,2173,2672.9750773595647,2599.894186044815,2172.999999999966,2672.9763334813492,2173.0000000000014,2672.9772789845942,2658.4486673045794,2670.767124785057,2672.9677223695294,3.116808301744785,380233.3334528242
20,5,1368,2173,2672.9737790684344,2598.144066701032,2172.999999999966,2672.975064882889,2173.0000000000014,2672.9760321096323,2657.9192735004167,2670.647027894841,2672.966205594328,3.1168160709029245,380233.3329947395
20,5,1404,2173,2672.9724510743936,2596.4037865980476,2172.999999999966,2672.9737674194807,2173.0000000000014,2672.9747565205043,2657.3853555451556,2670.523889613649,2672.964660650574,3.1168240232354667,380233.33304081205
20,5,1440,2173,2672.9710947285607,2594.672948000354,2172.999999999966,2672.972441427011,2173.0000000000014,2672.9734519931435,2656.8469794695948,2670.3977561532474,2672.96309270193,3.116832157054685,380233.33321440296
20,5,1476,2173,2672.9697111712294,2592.9512770972347,2172.999999999966,2672.9710873508548,2173.0000000000014,2672.9721187608357,2656.304218243829,2670.2686506916025,2672.9614999566284,3.1168404711681768,380233.33354713017
